Name,SuperPowers,Alignment,Gender
Richter Belmont,Null,,Male
Sara Trantoul,Null,,Female
Shaft (The dark priest),"Ability Shift,Acausality,Agility,Air Control,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Aura,Avatar Creation,Awakened Power,Blood Manipulation,Chaos Manipulation,Corruption,Dark Arts,Dark Magic,Electro-Magnetism Manipulation,Electrokinesis,Energy Manipulation,Exorcism,Flight,Force Ghost,Gravity Control,Heal,Illusions,Immortality,Intelligence,Levitation,Magic,Magnetism,Mind Control,Necromancy,Peak Human Condition,Plasma Manipulation,Possession,Regeneration,Resurrection,Shockwaves Generation,Stamina,Super Breath,Super Speed,Super Strength,Supernatural Condition,Unholy Manipulation,Void Manipulation,Astral Projection,Astro Force,Body Puppetry,Causality Manipulation,Chaos Energy,Chaos Magic,Cloaking,Creation,Curse Manipulation,Ectoplasm Manipulation,Electrical Transport,Energy Beams,Food Manipulation,Force Fields,Higher Dimensional Manipulation,Hive-Mind,Information Analysis,Information Manipulation,Invisibility,Invulnerability,Life Manipulation,Longevity,Master Tactician,Memory Manipulation,Mind Transfer,Non-Physical Interaction,Pocket Dimensions,Postcognition,Power Augmentation,Power Cosmic,Power Sense,Pressure Points,Projection,Reflexes,Rune Magic,Salvation,Self-Sustenance,Shadow Manipulation,Shapeshifting,Soul Manipulation,Space Manipulation,Spirit Control,Summoning,Teleportation,Unholy Resistance,Vitakinesis,Vortex Creation,Weather Control,Absolute Condition,Accelerated Healing,Acrobatics,Afterimage Creation,Amber,Apathy,Apotheosis,Astral Trap,Astral Travel,Audio Control,Black Hole Manipulation,Bloodlust,Broadway Force,Chemokinesis,Clairvoyance,Clairvoyance Resistance,Cold Resistance,Compassion Inducement,Conceptual Manipulation,Cosmic Awareness,Danger Sense,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Death Manipulation,Death Touch,Deconstruction,Density Control,Dexterity,Dimension Storage,Dimensional Awareness,Dimensional Travel,Dream Manipulation,Element Control,Elemental Transmogrification,EMP Generation,Empathy,Endurance,Energy Blasts,Energy Constructs,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Extrasensory Perception,Fear Inducement,Fear Manipulation,Hellfire Manipulation,Homing Attack,Hyperkinesis,Hypnokinesis,Law Manipulation,Luck,Mathematics Manipulation,Matter Manipulation,Mechanical Aptitude,Metaphysics Manipulation,Mind Blast,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Non-Corporeal,Nothingness Aspect Manifestation,Pain Manipulation,Perception Manipulation,Perfect Recollection,Physics Manipulation,Portal Creation,Precognition,Probability Manipulation,Psychometry,Reactive Power Level,Reality Warping,Scanning,Sense Manipulation,Sleep Manipulation,Smoke Manipulation,Social Influencing,Sonar,Sotobro Effect,Sound Manipulation,Space Survivability,Spaceflight,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stasis,Statistics Amplification,Status Effect Inducement,Still Force,Telekinesis,Telepathy,Toxin and Disease Resistance,Transformation,Transmutation,Truth Manipulation,Umbrakinesis,Underwater breathing,Vibration Manipulation,Wind Control,Wishing",Bad,Male
Shanoa,Null,,Female
Simon Belmont,"Durability,Intelligence,Peak Human Condition,Stamina,Super Speed,Super Strength,Weapon-based Powers,Weapons Master,Acrobatics,Agility,Apathy,Attack Reflection,Corruption Resistance,Dexterity,Endurance,Enhanced Senses,Enhanced Sight,Existence Erasure Resistance,Fire Control,Hellfire Resistance,Holy Manipulation,Holy Resistance,Jump,Longevity,Magic,Marksmanship,Mind Control Resistance,Non-Physical Interaction,Possession Resistance,Power Nullifier,Reflexes,Soul Resistance,Statistics Amplification,Stealth,Super Breath,Time Manipulation,Toxin and Disease Resistance,Invulnerability,Master Martial Artist,Self-Sustenance,Soul Manipulation",Good,Male
Soma Cruz,Null,,Male
Sonia Belmont,Null,,Female
Stella Lecarde,Null,,Female
Sypha Belnades,Null,Good,Female
Sypha Belnades,"Absolute Condition,Acausality,Accelerated Development,Accelerated Healing,Agility,Air Control,Curse Manipulation,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Death Manipulation,Death Touch,Decay Embodiment,Demon Physiology,Dimension Storage,Dimensional Awareness,Dimensional Travel,Duplication,Ectoplasm Manipulation,Force Ghost,Immortality,Intelligence,Laser Manipulation,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Necromancy,Regeneration,Resurrection,Rune Magic,Self-Sustenance,Shadow Manipulation,Sleep Manipulation,Smoke Manipulation,Soul Manipulation,Sound Manipulation,Space Manipulation,Summoning,Super Breath,Super Speed,Super Strength,Supernatural Condition,Time Manipulation,Timeframe Control,Transmutation,Truth Manipulation,Umbrakinesis,Underwater breathing,Unholy Manipulation,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Avatar Creation,Black Hole Manipulation,Blood Manipulation,Bloodlust,Causality Manipulation,Chain Manipulation,Corruption,Cosmic Awareness,Creation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Existence Erasure,Explosion Manipulation,Extrasensory Perception,Fear Inducement,Fear Manipulation,Fire Control,Flight,Food Manipulation,Force Fields,Higher Dimensional Manipulation,Hive-Mind,Hyperkinesis,Hypnokinesis,Interstellar Travel,Magic,Master Tactician,Memory Manipulation,Metaphysics Manipulation,Organic Manipulation,Origin Manipulation,Pacemiakinesis,Pain Manipulation,Plasma Manipulation,Pocket Dimensions,Portal Creation,Postcognition,Power Cosmic,Reality Warping,Social Influencing,Sonic Scream,Space Survivability,Spaceflight,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stasis,Statistics Amplification,Statistics Reduction,Status Effect Inducement,Toxin and Disease Resistance,Astral Projection,Astral Trap,Astral Travel,Astro Force,Unholy Resistance",Bad,Male
Trevor C. Belmont,Null,Good,Male
Yoko Belnades,Null,,Male
Zobek,"Ability Shift,Absolute Condition,Absorption,Acausality,Chaos Energy,Chaos Magic,Chaos Manipulation,Death Manipulation,Death Touch,Decay Embodiment,Deconstruction,Demon Physiology,Density Control,Dimension Storage,Dimensional Awareness,Dimensional Travel,Durability,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Existence Erasure,Exorcism,Force Ghost,Life Manipulation,Liquid Transmutation,Longevity,Madness Manipulation,Magic,Mind Control,Non-Corporeal,Non-Physical Interaction,Nothingness Aspect Manifestation,Resurrection,Self-Sustenance,Sense Manipulation,Shadow Manipulation,Shapeshifting,Soul Manipulation,Space Manipulation,Space Survivability,Spaceflight,Stamina,Super Speed,Super Strength,Unholy Manipulation,Weapon Creation,Weapon Summoning,Weapon-based Powers,Weapons Master,Accelerated Healing,Amphibious Respiration,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Blood Manipulation,Bloodlust,Causality Manipulation,Chain Manipulation,Changing Armor,Chemokinesis,Chi Manipulation,Clairvoyance,Cloth Manipulation,Cold Resistance,Compassion Inducement,Conceptual Manipulation,Corruption,Cosmic Awareness,Creation,Curse Manipulation,Danmaku,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Dream Manipulation,Ectoplasm Manipulation,Fear Inducement,Fear Manipulation,Higher Dimensional Manipulation,Hive-Mind,Hyperkinesis,Hypnokinesis,Immortality,Law Manipulation,Levitation,Necromancy,Organic Manipulation,Origin Manipulation,Pain Manipulation,Pocket Dimensions,Portal Creation,Possession,Postcognition,Power Bestowal,Power Cosmic,Regeneration,Spatial Awareness,Spatial Communication,Spatial Manipulation,Spirit Control,Summoning,Super Breath,Telekinesis,Telepathy,Astral Projection,Astral Trap,Astral Travel,Astro Force,Biokinesis,Black Hole Manipulation,Bullet Time,Mathematics Manipulation,Probability Manipulation,Projection,Reality Warping,Sleep Manipulation,Smoke Manipulation,Social Influencing,Sonar,Sotobro Effect,Sound Manipulation,Supernatural Condition,Supreme Power,Time Manipulation,Toxin and Disease Resistance,Transformation,Transmutation,Truth Manipulation,Umbrakinesis,Underwater breathing,Vitakinesis,Void Manipulation,Vortex Creation,Weather Control",Bad,Male
Alec,"Durability,Peak Human Condition,Stamina,Super Speed,Super Strength,Endurance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Marksmanship,Master Martial Artist,Master Tactician,Reflexes,Vehicular Mastery,Vision - Night,Vision - Telescopic,Weapons Master,Acrobatics,Adaptation,Agility,Dexterity,Jump,Regeneration,Toxin and Disease Resistance",Good,Male
Ames White,"Durability,Pain Suppression,Peak Human Condition,Stamina,Super Speed,Super Strength,Endurance,Marksmanship,Master Martial Artist,Master Tactician,Weapons Master,Acrobatics,Agility,Dexterity,Enhanced Sight,Indomitable Will,Jump,Telekinesis,Toxin and Disease Resistance",Bad,Male
Asha Barlow,"Intelligence,Endurance,Indomitable Will",Good,Female
